Time (UTC),S-band Doppler (kHz),X-band Doppler (kHz)
2026-04-23 07:13:05,-50.14,191.46
2026-04-23 07:13:56,-49.43,188.73
2026-04-23 07:14:47,-47.78,182.45
2026-04-23 07:15:37,-43.66,166.72
2026-04-23 07:16:28,-31.44,120.05
2026-04-23 07:17:18,0.92,-3.52
2026-04-23 07:18:09,32.38,-123.64
2026-04-23 07:19:00,43.93,-167.72
2026-04-23 07:19:50,47.85,-182.70
2026-04-23 07:20:41,49.41,-188.66
2026-04-23 07:21:32,50.09,-191.24
