Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Singapore,2026-04-22 22:49:42,2026-04-22 22:56:13,6.5,52.7
Svalbard,2026-04-22 23:08:26,2026-04-22 23:20:26,12.0,60.6
Kiruna,2026-04-22 23:08:53,2026-04-22 23:18:29,9.6,18.7
Wallops,2026-04-22 23:22:55,2026-04-22 23:35:00,12.1,88.3
Ponce de Leon,2026-04-22 23:25:36,2026-04-22 23:37:36,12.0,65.8
Merrit Island,2026-04-22 23:25:43,2026-04-22 23:37:44,12.0,68.6
Santiago,2026-04-22 23:44:33,2026-04-22 23:51:53,7.3,10.7
McMurdo,2026-04-22 23:59:13,2026-04-23 00:11:23,12.2,60.1
Dongara,2026-04-23 00:17:34,2026-04-23 00:21:06,3.5,6.2
Singapore,2026-04-23 00:26:26,2026-04-23 00:30:57,4.5,6.9
Kiruna,2026-04-23 00:45:49,2026-04-23 00:56:33,10.7,27.3
Svalbard,2026-04-23 00:46:56,2026-04-23 00:59:02,12.1,71.5
Wallops,2026-04-23 01:03:26,2026-04-23 01:10:19,6.9,10.3
White Sands,2026-04-23 01:04:38,2026-04-23 01:16:32,11.9,56.2
Ponce de Leon,2026-04-23 01:06:12,2026-04-23 01:13:08,6.9,10.3
Merrit Island,2026-04-23 01:06:29,2026-04-23 01:13:04,6.6,9.7
McMurdo,2026-04-23 01:37:40,2026-04-23 01:49:50,12.2,60.1
Kiruna,2026-04-23 02:23:16,2026-04-23 02:35:14,12.0,59.0
Svalbard,2026-04-23 02:25:43,2026-04-23 02:37:53,12.2,78.9
Gilmore Creek,2026-04-23 02:36:47,2026-04-23 02:45:58,9.2,15.6
