Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X51,2026-04-22 22:44:35,2026-04-22 22:54:39,604.1,40.0
ICEYE-X36,2026-04-22 22:52:52,2026-04-22 22:53:33,40.9,40.0
ICEYE-X48,2026-04-22 23:14:02,2026-04-22 23:25:46,703.8,40.0
ICEYE-X26,2026-04-22 23:14:49,2026-04-22 23:20:23,333.6,40.0
ICEYE-X36,2026-04-22 23:16:11,2026-04-22 23:19:49,217.8,41.8
ICEYE-X38,2026-04-22 23:20:01,2026-04-22 23:20:31,30.0,40.0
ICEYE-X50,2026-04-22 23:21:43,2026-04-22 23:33:49,726.1,40.0
ICEYE-X46,2026-04-22 23:22:34,2026-04-22 23:34:43,728.0,40.0
ICEYE-X11,2026-04-22 23:25:39,2026-04-22 23:32:43,424.2,40.0
ICEYE-X38,2026-04-22 23:41:34,2026-04-22 23:42:51,77.1,43.9
