Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-10,2026-04-27 00:53:49,2026-04-27 03:22:16,2h 28m 26s,Svalbard,Punta Arenas
UMBRA-09,2026-04-27 00:54:28,2026-04-27 03:22:53,2h 28m 25s,Svalbard,Punta Arenas
UMBRA-11,2026-04-25 23:54:57,2026-04-26 02:23:12,2h 28m 14s,Svalbard,Punta Arenas
UMBRA-10,2026-04-26 01:08:24,2026-04-26 03:36:35,2h 28m 10s,Svalbard,Punta Arenas
UMBRA-09,2026-04-26 01:09:03,2026-04-26 03:37:13,2h 28m 9s,Svalbard,Punta Arenas
UMBRA-07,2026-04-26 23:37:19,2026-04-27 02:05:26,2h 28m 6s,Svalbard,Punta Arenas
UMBRA-10,2026-04-25 01:22:57,2026-04-25 03:50:57,2h 28m,Svalbard,Punta Arenas
UMBRA-09,2026-04-25 01:23:36,2026-04-25 03:51:35,2h 27m 59s,Svalbard,Punta Arenas
UMBRA-10,2026-04-24 01:37:27,2026-04-24 04:05:22,2h 27m 55s,Svalbard,Punta Arenas
UMBRA-09,2026-04-24 01:38:06,2026-04-24 04:06:00,2h 27m 54s,Svalbard,Punta Arenas
