Satellite,AOI Exit (UTC),Contact Start (UTC),Station,Latency
CAPELLA-20 (ACADIA-10),2026-07-16 08:48:27,2026-07-16 09:42:50,Bangalore,54m 23s
CAPELLA-17 (ACADIA-7),2026-07-13 19:10:27,2026-07-13 20:04:50,Bangalore,54m 22s
CAPELLA-20 (ACADIA-10),2026-07-15 08:39:52,2026-07-15 09:33:55,Bangalore,54m 3s
CAPELLA-20 (ACADIA-10),2026-07-17 08:57:02,2026-07-17 09:46:42,Mauritius,49m 39s
CAPELLA-17 (ACADIA-7),2026-07-14 19:19:06,2026-07-14 20:08:41,Mauritius,49m 34s
