Time (UTC),S-band Doppler (kHz),X-band Doppler (kHz)
2026-04-20 16:09:20,-47.88,182.81
2026-04-20 16:10:09,-46.33,176.88
2026-04-20 16:10:59,-43.29,165.31
2026-04-20 16:11:48,-37.02,141.37
2026-04-20 16:12:38,-23.71,90.54
2026-04-20 16:13:27,-0.39,1.48
2026-04-20 16:14:16,23.18,-88.49
2026-04-20 16:15:06,36.79,-140.48
2026-04-20 16:15:55,43.23,-165.05
2026-04-20 16:16:45,46.34,-176.93
2026-04-20 16:17:34,47.94,-183.06
