Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X46,2025-11-12 06:43:08,2025-11-12 06:43:43,34.9,35.5
ICEYE-X8,2025-11-12 06:49:41,2025-11-12 06:54:52,311.0,40.0
ICEYE-X51,2025-11-12 06:53:54,2025-11-12 06:59:41,346.6,40.0
ICEYE-X44,2025-11-12 06:54:43,2025-11-12 07:00:31,348.0,40.0
ICEYE-X31,2025-11-12 07:01:13,2025-11-12 07:06:55,342.0,40.0
ICEYE-X40,2025-11-12 07:02:06,2025-11-12 07:07:57,350.1,40.0
ICEYE-X33,2025-11-12 07:03:08,2025-11-12 07:08:57,348.5,40.0
ICEYE-X14,2025-11-12 07:12:49,2025-11-12 07:18:18,328.5,40.0
ICEYE-X39,2025-11-12 07:12:54,2025-11-12 07:18:46,352.4,40.0
ICEYE-X6,2025-11-12 07:14:45,2025-11-12 07:26:52,727.5,40.0
