Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Kiruna,2025-11-12 06:35:01,2025-11-12 06:41:39,6.6,9.3
Svalbard,2025-11-12 06:35:57,2025-11-12 06:45:58,10.0,19.3
Gilmore Creek,2025-11-12 06:43:27,2025-11-12 06:54:26,11.0,30.2
Alaska Satellite Facility,2025-11-12 06:43:30,2025-11-12 06:54:29,11.0,30.2
North Pole,2025-11-12 06:43:30,2025-11-12 06:54:28,11.0,29.9
Awarua,2025-11-12 07:16:18,2025-11-12 07:26:50,10.5,22.8
McMurdo,2025-11-12 07:24:56,2025-11-12 07:36:09,11.2,28.1
Troll,2025-11-12 07:32:16,2025-11-12 07:44:36,12.3,89.1
Svalbard,2025-11-12 08:17:47,2025-11-12 08:25:38,7.8,11.6
Gilmore Creek,2025-11-12 08:21:58,2025-11-12 08:30:52,8.9,15.7
Alaska Satellite Facility,2025-11-12 08:22:01,2025-11-12 08:30:54,8.9,15.6
North Pole,2025-11-12 08:22:02,2025-11-12 08:30:52,8.8,15.4
Dongara,2025-11-12 08:53:15,2025-11-12 09:03:00,9.8,19.2
McMurdo,2025-11-12 09:06:12,2025-11-12 09:15:38,9.4,16.0
Troll,2025-11-12 09:11:01,2025-11-12 09:22:53,11.9,45.8
Santiago,2025-11-12 09:27:35,2025-11-12 09:32:55,5.3,7.7
Merrit Island,2025-11-12 09:44:18,2025-11-12 09:52:19,8.0,12.8
Ponce de Leon,2025-11-12 09:44:28,2025-11-12 09:52:28,8.0,12.8
Wallops,2025-11-12 09:44:45,2025-11-12 09:55:46,11.0,31.0
Gilmore Creek,2025-11-12 09:59:27,2025-11-12 10:07:27,8.0,12.7
