Satellite,AOI Exit (UTC),Contact Start (UTC),Station,Latency
CAPELLA-16 (ACADIA-6),2025-12-07 16:39:03,2025-12-07 17:33:32,Bangalore,54m 28s
CAPELLA-16 (ACADIA-6),2025-12-06 16:30:40,2025-12-06 17:24:48,Bangalore,54m 7s
CAPELLA-17 (ACADIA-7),2025-12-05 19:05:20,2025-12-05 19:59:28,Bangalore,54m 7s
CAPELLA-17 (ACADIA-7),2025-12-06 19:15:04,2025-12-06 20:05:53,Mauritius,50m 49s
CAPELLA-16 (ACADIA-6),2025-12-08 16:47:24,2025-12-08 17:36:48,Mauritius,49m 23s
