Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-08,2025-12-08 00:14:51,2025-12-08 04:10:35,3h 55m 43s,Svalbard,Punta Arenas
UMBRA-08,2025-12-06 05:06:50,2025-12-06 08:43:47,3h 36m 56s,Punta Arenas,Svalbard
UMBRA-08,2025-12-05 04:45:18,2025-12-05 08:22:00,3h 36m 42s,Punta Arenas,Svalbard
UMBRA-08,2025-12-10 04:53:44,2025-12-10 08:29:59,3h 36m 15s,Punta Arenas,Svalbard
UMBRA-08,2025-12-09 04:36:23,2025-12-09 08:12:39,3h 36m 15s,Punta Arenas,Svalbard
UMBRA-08,2025-12-07 00:31:47,2025-12-07 03:50:44,3h 18m 56s,Awarua,Punta Arenas
UMBRA-08,2025-12-06 00:12:08,2025-12-06 03:29:56,3h 17m 47s,Awarua,Punta Arenas
UMBRA-08,2025-12-04 23:50:35,2025-12-05 03:08:21,3h 17m 46s,Awarua,Punta Arenas
UMBRA-08,2025-12-08 23:42:32,2025-12-09 03:00:10,3h 17m 38s,Awarua,Punta Arenas
UMBRA-08,2025-12-10 00:00:01,2025-12-10 03:17:17,3h 17m 16s,Awarua,Punta Arenas
