Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Kiruna,2025-12-04 04:35:32,2025-12-04 04:46:59,11.4,34.3
Svalbard,2025-12-04 04:38:24,2025-12-04 04:50:00,11.6,37.4
Gilmore Creek,2025-12-04 04:48:07,2025-12-04 05:00:16,12.1,79.9
Alaska Satellite Facility,2025-12-04 04:48:10,2025-12-04 05:00:19,12.1,79.0
North Pole,2025-12-04 04:48:10,2025-12-04 05:00:19,12.1,79.9
South Point,2025-12-04 05:00:58,2025-12-04 05:12:21,11.4,38.0
Awarua,2025-12-04 05:20:32,2025-12-04 05:32:00,11.5,36.7
McMurdo,2025-12-04 05:28:09,2025-12-04 05:40:22,12.2,56.4
Troll,2025-12-04 05:36:48,2025-12-04 05:48:20,11.5,32.9
Matjiesfontein,2025-12-04 05:46:54,2025-12-04 05:57:39,10.8,26.7
Hartebeesthoek,2025-12-04 05:50:19,2025-12-04 05:56:44,6.4,9.3
Kiruna,2025-12-04 06:17:37,2025-12-04 06:25:25,7.8,11.5
Svalbard,2025-12-04 06:19:05,2025-12-04 06:29:23,10.3,21.1
Gilmore Creek,2025-12-04 06:27:00,2025-12-04 06:38:16,11.3,34.9
Alaska Satellite Facility,2025-12-04 06:27:03,2025-12-04 06:38:20,11.3,35.0
North Pole,2025-12-04 06:27:03,2025-12-04 06:38:19,11.3,34.6
Awarua,2025-12-04 06:59:20,2025-12-04 07:10:39,11.3,31.4
McMurdo,2025-12-04 07:08:11,2025-12-04 07:19:37,11.4,30.9
Troll,2025-12-04 07:15:48,2025-12-04 07:28:08,12.3,79.1
Svalbard,2025-12-04 08:00:46,2025-12-04 08:09:00,8.2,12.5
