Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X6,2025-12-04 08:17:36,2025-12-04 08:23:25,348.8,37.9
ICEYE-X45,2025-12-04 08:17:36,2025-12-04 08:17:55,19.0,35.3
ICEYE-X35,2025-12-04 08:17:58,2025-12-04 08:23:59,361.1,40.0
ICEYE-X47,2025-12-04 08:18:06,2025-12-04 08:18:49,42.9,40.0
ICEYE-X40,2025-12-04 08:24:53,2025-12-04 08:31:21,388.0,40.0
ICEYE-X7,2025-12-04 08:38:21,2025-12-04 08:44:53,392.1,40.0
ICEYE-X49,2025-12-04 08:38:46,2025-12-04 08:44:47,361.3,40.0
ICEYE-X47,2025-12-04 08:41:19,2025-12-04 08:47:20,361.1,40.0
ICEYE-X2,2025-12-04 08:52:08,2025-12-04 09:00:52,523.2,40.0
ICEYE-X43,2025-12-04 08:53:20,2025-12-04 09:00:11,410.5,40.0
