batch_size,brahe-rust-rayon (ops/s),astrojax-cpu (ops/s),astrojax-gpu (ops/s),astrojax-multigpu (ops/s)
1,7.92M,87.0K,2.91K,skipped:below_multigpu_min_batch
100,191K,4.28M,833K,skipped:below_multigpu_min_batch
10K,14.1M,8.10M,62.2M,skipped:below_multigpu_min_batch
100K,66.2M,67.3M,365M,224M
1M,390M,101M,8.67B,6.94B
10M,752M,178M,6.87B,20.7B
