Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X48,2026-06-16 21:05:44,2026-06-16 21:13:07,443.4,40.0
ICEYE-X51,2026-06-16 21:08:08,2026-06-16 21:15:19,431.4,40.0
ICEYE-X37,2026-06-16 21:22:01,2026-06-16 21:28:16,375.7,40.0
ICEYE-X57,2026-06-16 21:25:21,2026-06-16 21:26:35,74.1,43.6
ICEYE-X36,2026-06-16 21:27:31,2026-06-16 21:33:44,373.3,40.0
ICEYE-X52,2026-06-16 21:27:57,2026-06-16 21:28:31,33.6,40.0
ICEYE-X38,2026-06-16 21:27:59,2026-06-16 21:34:23,384.6,40.0
ICEYE-X52,2026-06-16 21:30:05,2026-06-16 21:30:39,33.7,40.0
ICEYE-X78,2026-06-16 21:32:19,2026-06-16 21:39:52,453.4,40.0
ICEYE-X25,2026-06-16 21:45:11,2026-06-16 21:51:11,359.7,40.0
