Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Svalbard,2026-06-16 19:59:18,2026-06-16 20:11:28,12.2,88.0
Kiruna,2026-06-16 20:01:21,2026-06-16 20:12:20,11.0,30.3
Santiago,2026-06-16 20:37:10,2026-06-16 20:41:53,4.7,7.1
Troll,2026-06-16 20:46:42,2026-06-16 20:51:41,5.0,7.2
McMurdo,2026-06-16 20:49:50,2026-06-16 21:02:10,12.3,71.0
Awarua,2026-06-16 20:58:45,2026-06-16 21:07:22,8.6,14.4
Dongara,2026-06-16 21:07:29,2026-06-16 21:13:50,6.4,9.0
Svalbard,2026-06-16 21:38:03,2026-06-16 21:50:06,12.0,65.3
Kiruna,2026-06-16 21:39:33,2026-06-16 21:49:16,9.7,19.4
Wallops,2026-06-16 21:54:22,2026-06-16 22:01:30,7.1,10.3
Santiago,2026-06-16 22:11:16,2026-06-16 22:23:25,12.2,80.4
McMurdo,2026-06-16 22:28:45,2026-06-16 22:41:03,12.3,75.2
Dongara,2026-06-16 22:43:36,2026-06-16 22:55:40,12.1,67.5
Singapore,2026-06-16 22:52:26,2026-06-16 23:04:27,12.0,72.7
Svalbard,2026-06-16 23:16:36,2026-06-16 23:28:35,12.0,60.8
Kiruna,2026-06-16 23:16:55,2026-06-16 23:26:34,9.7,19.0
Wallops,2026-06-16 23:31:06,2026-06-16 23:43:08,12.0,76.7
Ponce de Leon,2026-06-16 23:33:44,2026-06-16 23:45:48,12.1,81.4
Merrit Island,2026-06-16 23:33:52,2026-06-16 23:45:56,12.1,84.6
Santiago,2026-06-16 23:53:36,2026-06-16 23:59:21,5.8,8.2
