Satellite,AOI Exit (UTC),Contact Start (UTC),Station,Latency
CAPELLA-15 (ACADIA-5),2026-06-17 16:27:36,2026-06-17 17:22:01,Bangalore,54m 25s
CAPELLA-15 (ACADIA-5),2026-06-16 16:19:40,2026-06-16 17:13:47,Bangalore,54m 6s
CAPELLA-15 (ACADIA-5),2026-06-18 16:35:31,2026-06-18 17:25:12,Mauritius,49m 41s
CAPELLA-15 (ACADIA-5),2026-06-19 16:43:39,2026-06-19 17:32:24,Mauritius,48m 44s
CAPELLA-19 (ACADIA-9),2026-06-17 11:54:38,2026-06-17 12:42:13,Mauritius,47m 35s
