Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Kiruna,2026-04-10 06:26:22,2026-04-10 06:33:38,7.3,10.4
Svalbard,2026-04-10 06:27:36,2026-04-10 06:37:45,10.2,20.2
Gilmore Creek,2026-04-10 06:35:18,2026-04-10 06:46:26,11.1,32.4
Alaska Satellite Facility,2026-04-10 06:35:21,2026-04-10 06:46:29,11.1,32.5
North Pole,2026-04-10 06:35:21,2026-04-10 06:46:28,11.1,32.1
Awarua,2026-04-10 07:07:52,2026-04-10 07:18:50,11.0,26.8
McMurdo,2026-04-10 07:16:38,2026-04-10 07:27:58,11.3,29.5
Troll,2026-04-10 07:24:06,2026-04-10 07:36:27,12.3,84.4
Svalbard,2026-04-10 08:09:21,2026-04-10 08:17:23,8.0,12.0
Gilmore Creek,2026-04-10 08:13:52,2026-04-10 08:22:56,9.1,16.4
Alaska Satellite Facility,2026-04-10 08:13:55,2026-04-10 08:22:58,9.0,16.3
North Pole,2026-04-10 08:13:56,2026-04-10 08:22:56,9.0,16.1
Dongara,2026-04-10 08:45:34,2026-04-10 08:54:34,9.0,15.8
McMurdo,2026-04-10 08:57:48,2026-04-10 09:07:25,9.6,16.8
Troll,2026-04-10 09:02:53,2026-04-10 09:14:49,11.9,48.0
Santiago,2026-04-10 09:20:54,2026-04-10 09:23:07,2.2,5.4
Merrit Island,2026-04-10 09:36:51,2026-04-10 09:43:41,6.8,10.1
Wallops,2026-04-10 09:36:53,2026-04-10 09:47:29,10.6,26.1
Ponce de Leon,2026-04-10 09:37:01,2026-04-10 09:43:51,6.8,10.1
Gilmore Creek,2026-04-10 09:51:28,2026-04-10 09:59:26,8.0,12.7
