Time (UTC),S-band Doppler (kHz),X-band Doppler (kHz)
2025-11-07 00:06:39,-36.22,138.30
2025-11-07 00:07:15,-31.99,122.13
2025-11-07 00:07:51,-26.29,100.37
2025-11-07 00:08:28,-18.90,72.15
2025-11-07 00:09:04,-9.87,37.69
2025-11-07 00:09:41,0.19,-0.73
2025-11-07 00:10:17,10.24,-39.10
2025-11-07 00:10:53,19.23,-73.41
2025-11-07 00:11:30,26.58,-101.48
2025-11-07 00:12:06,32.24,-123.10
2025-11-07 00:12:43,36.47,-139.23
