Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-05,2025-11-09 22:59:29,2025-11-10 02:55:14,3h 55m 45s,Svalbard,Punta Arenas
UMBRA-05,2025-11-08 22:43:05,2025-11-09 02:38:18,3h 55m 12s,Svalbard,Punta Arenas
UMBRA-08,2025-11-11 04:43:40,2025-11-11 08:21:55,3h 38m 14s,Punta Arenas,Svalbard
UMBRA-05,2025-11-08 03:56:53,2025-11-08 07:33:39,3h 36m 45s,Punta Arenas,Svalbard
UMBRA-05,2025-11-07 03:38:10,2025-11-07 07:14:41,3h 36m 30s,Punta Arenas,Svalbard
UMBRA-05,2025-11-12 03:32:20,2025-11-12 07:08:13,3h 35m 53s,Punta Arenas,Svalbard
UMBRA-08,2025-11-12 00:21:54,2025-11-12 03:41:34,3h 19m 39s,Awarua,Punta Arenas
UMBRA-08,2025-11-07 00:15:23,2025-11-07 03:34:59,3h 19m 35s,Awarua,Punta Arenas
UMBRA-08,2025-11-09 00:01:39,2025-11-09 03:20:49,3h 19m 9s,Awarua,Punta Arenas
UMBRA-05,2025-11-07 23:02:40,2025-11-08 02:20:18,3h 17m 38s,Awarua,Punta Arenas
