Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X7,2025-11-07 04:44:46,2025-11-07 04:57:49,783.0,45.0
ICEYE-X4,2025-11-07 04:55:55,2025-11-07 05:02:36,400.5,45.0
ICEYE-X51,2025-11-07 05:04:12,2025-11-07 05:10:31,378.7,45.0
ICEYE-X2,2025-11-07 05:08:45,2025-11-07 05:14:25,340.0,45.0
ICEYE-X50,2025-11-07 05:25:04,2025-11-07 05:31:13,368.9,45.0
ICEYE-X6,2025-11-07 05:37:24,2025-11-07 05:50:22,778.6,45.0
ICEYE-X48,2025-11-07 05:59:06,2025-11-07 06:05:03,356.4,45.0
ICEYE-X46,2025-11-07 06:05:18,2025-11-07 06:11:13,355.0,45.0
ICEYE-X14,2025-11-07 06:06:13,2025-11-07 06:10:57,284.7,43.9
ICEYE-X43,2025-11-07 06:11:10,2025-11-07 06:14:56,226.5,41.6
