Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Kiruna,2025-11-07 03:20:40,2025-11-07 03:32:49,12.2,78.3
Svalbard,2025-11-07 03:23:31,2025-11-07 03:35:35,12.1,58.2
Gilmore Creek,2025-11-07 03:34:02,2025-11-07 03:45:19,11.3,31.6
Alaska Satellite Facility,2025-11-07 03:34:05,2025-11-07 03:45:20,11.3,31.1
North Pole,2025-11-07 03:34:06,2025-11-07 03:45:22,11.3,31.4
South Point,2025-11-07 03:47:21,2025-11-07 03:58:08,10.8,27.1
Awarua,2025-11-07 04:09:48,2025-11-07 04:16:28,6.7,9.7
McMurdo,2025-11-07 04:13:43,2025-11-07 04:26:04,12.4,83.7
Troll,2025-11-07 04:22:34,2025-11-07 04:32:17,9.7,17.3
Matjiesfontein,2025-11-07 04:32:30,2025-11-07 04:44:26,11.9,51.4
Hartebeesthoek,2025-11-07 04:34:04,2025-11-07 04:46:05,12.0,64.4
Kiruna,2025-11-07 05:00:45,2025-11-07 05:11:39,10.9,26.3
Svalbard,2025-11-07 05:03:27,2025-11-07 05:14:49,11.4,32.3
Gilmore Creek,2025-11-07 05:12:49,2025-11-07 05:24:56,12.1,77.3
Alaska Satellite Facility,2025-11-07 05:12:52,2025-11-07 05:24:59,12.1,78.1
North Pole,2025-11-07 05:12:52,2025-11-07 05:24:59,12.1,77.2
South Point,2025-11-07 05:26:16,2025-11-07 05:36:04,9.8,19.9
Awarua,2025-11-07 05:44:47,2025-11-07 05:56:50,12.1,59.2
McMurdo,2025-11-07 05:53:03,2025-11-07 06:05:09,12.1,48.5
Troll,2025-11-07 06:01:32,2025-11-07 06:13:25,11.9,40.9
