Time (UTC),S-band Doppler (kHz),X-band Doppler (kHz)
2026-03-29 00:35:49,-40.96,156.39
2026-03-29 00:36:31,-37.50,143.17
2026-03-29 00:37:14,-32.26,123.17
2026-03-29 00:37:57,-24.46,93.40
2026-03-29 00:38:39,-13.63,52.05
2026-03-29 00:39:22,-0.40,1.54
2026-03-29 00:40:05,12.89,-49.20
2026-03-29 00:40:47,23.92,-91.35
2026-03-29 00:41:30,31.94,-121.93
2026-03-29 00:42:12,37.34,-142.57
2026-03-29 00:42:55,40.93,-156.28
