Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X46,2026-03-28 21:04:20,2026-03-28 21:11:43,442.9,40.0
ICEYE-X51,2026-03-28 21:04:36,2026-03-28 21:11:48,431.4,40.0
ICEYE-X37,2026-03-28 21:09:19,2026-03-28 21:15:35,375.5,40.0
ICEYE-X55,2026-03-28 21:18:58,2026-03-28 21:24:47,349.4,40.0
ICEYE-X57,2026-03-28 21:20:25,2026-03-28 21:21:42,76.4,43.5
ICEYE-X52,2026-03-28 21:26:47,2026-03-28 21:27:21,34.0,40.0
ICEYE-X11,2026-03-28 21:28:37,2026-03-28 21:38:53,616.3,40.0
ICEYE-X25,2026-03-28 21:28:40,2026-03-28 21:34:38,357.1,40.0
ICEYE-X52,2026-03-28 21:28:53,2026-03-28 21:29:27,34.1,40.0
ICEYE-X54,2026-03-28 21:30:49,2026-03-28 21:31:19,30.6,40.0
