Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X6,2025-11-28 04:55:47,2025-11-28 05:06:52,665.3,40.0
ICEYE-X46,2025-11-28 05:07:19,2025-11-28 05:13:36,377.6,40.0
ICEYE-X48,2025-11-28 05:10:41,2025-11-28 05:16:57,375.4,40.0
ICEYE-X4,2025-11-28 05:16:12,2025-11-28 05:23:07,415.7,40.0
ICEYE-X2,2025-11-28 05:23:20,2025-11-28 05:29:03,342.6,40.0
ICEYE-X51,2025-11-28 05:28:19,2025-11-28 05:34:24,365.2,40.0
ICEYE-X50,2025-11-28 06:05:03,2025-11-28 06:10:58,354.9,40.0
ICEYE-X7,2025-11-28 06:10:53,2025-11-28 06:21:11,618.1,40.0
ICEYE-X39,2025-11-28 06:19:12,2025-11-28 06:24:56,344.0,40.0
ICEYE-X49,2025-11-28 06:21:51,2025-11-28 06:27:52,360.4,40.0
