Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-08,2025-11-30 00:09:36,2025-11-30 04:05:45,3h 56m 8s,Svalbard,Punta Arenas
UMBRA-08,2025-11-28 04:49:23,2025-11-28 08:26:41,3h 37m 18s,Punta Arenas,Svalbard
UMBRA-08,2025-12-02 05:04:27,2025-12-02 08:41:45,3h 37m 18s,Punta Arenas,Svalbard
UMBRA-08,2025-12-01 04:39:19,2025-12-01 08:16:19,3h 36m 59s,Punta Arenas,Svalbard
UMBRA-08,2025-12-03 00:32:24,2025-12-03 03:51:48,3h 19m 23s,Awarua,Punta Arenas
UMBRA-08,2025-11-29 00:20:20,2025-11-29 03:38:56,3h 18m 36s,Awarua,Punta Arenas
UMBRA-08,2025-11-27 23:53:34,2025-11-28 03:11:45,3h 18m 10s,Awarua,Punta Arenas
UMBRA-08,2025-11-30 23:43:55,2025-12-01 03:02:04,3h 18m 8s,Awarua,Punta Arenas
UMBRA-08,2025-12-02 00:09:04,2025-12-02 03:27:07,3h 18m 3s,Awarua,Punta Arenas
UMBRA-10,2025-11-28 00:52:21,2025-11-28 03:20:51,2h 28m 29s,Svalbard,Punta Arenas
