Satellite,AOI Exit (UTC),Contact Start (UTC),Station,Latency
CAPELLA-17 (ACADIA-7),2026-03-09 19:12:02,2026-03-09 20:06:31,Bangalore,54m 28s
CAPELLA-19 (ACADIA-9),2026-03-09 11:29:12,2026-03-09 12:23:38,Bangalore,54m 25s
CAPELLA-17 (ACADIA-7),2026-03-08 19:02:55,2026-03-08 19:57:01,Bangalore,54m 6s
CAPELLA-18 (ACADIA-8),2026-03-05 11:34:07,2026-03-05 12:24:44,Mauritius,50m 36s
CAPELLA-15 (ACADIA-5),2026-03-04 16:35:49,2026-03-04 17:26:15,Mauritius,50m 26s
