Time (UTC),S-band Doppler (kHz),X-band Doppler (kHz)
2026-03-05 01:31:00,-39.85,152.14
2026-03-05 01:31:41,-36.05,137.66
2026-03-05 01:32:21,-30.51,116.50
2026-03-05 01:33:02,-22.65,86.47
2026-03-05 01:33:43,-12.23,46.71
2026-03-05 01:34:24,0.05,-0.17
2026-03-05 01:35:05,12.33,-47.07
2026-03-05 01:35:45,22.74,-86.84
2026-03-05 01:36:26,30.62,-116.91
2026-03-05 01:37:07,36.17,-138.12
2026-03-05 01:37:48,39.99,-152.70
