Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X53,2026-03-04 20:43:10,2026-03-04 20:49:06,355.9,40.0
ICEYE-X54,2026-03-04 20:50:03,2026-03-04 20:55:58,355.2,40.0
ICEYE-X36,2026-03-04 20:59:12,2026-03-04 21:05:35,383.1,40.0
ICEYE-X51,2026-03-04 21:03:41,2026-03-04 21:10:53,431.4,40.0
ICEYE-X56,2026-03-04 21:09:31,2026-03-04 21:15:22,351.0,40.0
ICEYE-X11,2026-03-04 21:11:02,2026-03-04 21:21:37,635.2,40.0
ICEYE-X38,2026-03-04 21:12:20,2026-03-04 21:18:44,384.4,40.0
ICEYE-X37,2026-03-04 21:13:16,2026-03-04 21:19:30,374.3,40.0
ICEYE-X57,2026-03-04 21:18:58,2026-03-04 21:20:12,74.3,43.6
ICEYE-X26,2026-03-04 21:24:57,2026-03-04 21:31:31,393.7,40.0
