Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-10,2026-03-10 01:00:47,2026-03-10 03:29:05,2h 28m 18s,Svalbard,Punta Arenas
UMBRA-09,2026-03-10 01:01:01,2026-03-10 03:29:18,2h 28m 16s,Svalbard,Punta Arenas
UMBRA-10,2026-03-09 01:13:50,2026-03-09 03:41:58,2h 28m 7s,Svalbard,Punta Arenas
UMBRA-09,2026-03-09 01:14:10,2026-03-09 03:42:17,2h 28m 6s,Svalbard,Punta Arenas
UMBRA-10,2026-03-08 01:26:49,2026-03-08 03:54:50,2h 28m 1s,Svalbard,Punta Arenas
UMBRA-09,2026-03-08 01:27:15,2026-03-08 03:55:15,2h 28m,Svalbard,Punta Arenas
UMBRA-11,2026-03-07 00:14:23,2026-03-07 02:42:17,2h 27m 53s,Svalbard,Punta Arenas
UMBRA-11,2026-03-11 00:28:15,2026-03-11 02:55:56,2h 27m 40s,Svalbard,Punta Arenas
UMBRA-11,2026-03-06 00:34:14,2026-03-06 03:01:52,2h 27m 37s,Svalbard,Punta Arenas
UMBRA-11,2026-03-10 00:48:19,2026-03-10 03:15:50,2h 27m 31s,Svalbard,Punta Arenas
