Satellite,AOI Exit (UTC),Contact Start (UTC),Station,Latency
CAPELLA-17 (ACADIA-7),2026-02-17 19:12:21,2026-02-17 20:06:52,Bangalore,54m 31s
CAPELLA-18 (ACADIA-8),2026-02-16 11:26:19,2026-02-16 12:20:35,Bangalore,54m 15s
CAPELLA-16 (ACADIA-6),2026-02-16 16:33:31,2026-02-16 17:27:45,Bangalore,54m 13s
CAPELLA-15 (ACADIA-5),2026-02-19 16:25:43,2026-02-19 17:19:52,Bangalore,54m 8s
CAPELLA-17 (ACADIA-7),2026-02-16 19:02:54,2026-02-16 19:57:02,Bangalore,54m 8s
