Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X4,2026-02-13 12:34:05,2026-02-13 12:39:17,311.2,38.6
ICEYE-X39,2026-02-13 12:34:05,2026-02-13 12:44:01,595.8,38.7
ICEYE-X41,2026-02-13 12:34:05,2026-02-13 12:43:13,547.3,38.4
ICEYE-X58,2026-02-13 12:34:05,2026-02-13 12:38:08,242.5,36.5
ICEYE-X61,2026-02-13 12:34:05,2026-02-13 12:34:33,27.2,35.2
ICEYE-X5,2026-02-13 12:35:37,2026-02-13 12:44:17,519.2,40.0
ICEYE-X62,2026-02-13 12:39:36,2026-02-13 12:52:36,780.3,40.0
ICEYE-X34,2026-02-13 12:47:14,2026-02-13 12:59:38,744.0,40.0
ICEYE-X52,2026-02-13 12:47:24,2026-02-13 12:56:16,532.0,40.0
ICEYE-X25,2026-02-13 12:48:38,2026-02-13 12:55:01,382.8,40.0
