Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Merrit Island,2026-02-13 11:45:51,2026-02-13 11:56:44,10.9,27.8
Ponce de Leon,2026-02-13 11:45:59,2026-02-13 11:56:54,10.9,28.3
White Sands,2026-02-13 11:48:32,2026-02-13 11:59:02,10.5,25.1
Wallops,2026-02-13 11:49:20,2026-02-13 11:58:21,9.0,15.4
Gilmore Creek,2026-02-13 12:00:00,2026-02-13 12:09:56,9.9,20.7
North Pole,2026-02-13 12:00:01,2026-02-13 12:09:53,9.9,20.3
Alaska Satellite Facility,2026-02-13 12:00:03,2026-02-13 12:09:55,9.9,20.3
Svalbard,2026-02-13 12:06:50,2026-02-13 12:12:46,5.9,8.3
Singapore,2026-02-13 12:30:03,2026-02-13 12:33:55,3.9,6.4
Troll,2026-02-13 12:51:39,2026-02-13 13:02:55,11.3,31.9
McMurdo,2026-02-13 12:56:09,2026-02-13 13:01:20,5.2,7.3
White Sands,2026-02-13 13:26:49,2026-02-13 13:37:48,11.0,28.9
North Pole,2026-02-13 13:36:55,2026-02-13 13:48:39,11.7,47.3
Gilmore Creek,2026-02-13 13:36:56,2026-02-13 13:48:41,11.8,48.2
Alaska Satellite Facility,2026-02-13 13:36:56,2026-02-13 13:48:40,11.7,47.1
Svalbard,2026-02-13 13:46:54,2026-02-13 13:55:03,8.1,12.3
Hartebeesthoek,2026-02-13 14:20:00,2026-02-13 14:25:17,5.3,7.8
Troll,2026-02-13 14:29:21,2026-02-13 14:41:17,11.9,48.4
McMurdo,2026-02-13 14:36:52,2026-02-13 14:43:29,6.6,9.1
South Point,2026-02-13 15:05:25,2026-02-13 15:14:30,9.1,16.3
