Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Svalbard,2026-04-14 20:24:04,2026-04-14 20:36:13,12.1,80.5
Kiruna,2026-04-14 20:26:01,2026-04-14 20:36:39,10.6,26.1
Santiago,2026-04-14 20:59:36,2026-04-14 21:08:10,8.6,14.2
Troll,2026-04-14 21:13:31,2026-04-14 21:15:44,2.2,5.4
McMurdo,2026-04-14 21:14:39,2026-04-14 21:27:00,12.4,80.4
Awarua,2026-04-14 21:24:18,2026-04-14 21:30:27,6.1,8.9
Dongara,2026-04-14 21:30:42,2026-04-14 21:40:26,9.7,18.5
Singapore,2026-04-14 21:42:17,2026-04-14 21:47:13,4.9,7.4
Svalbard,2026-04-14 22:02:46,2026-04-14 22:14:47,12.0,62.6
Kiruna,2026-04-14 22:04:02,2026-04-14 22:13:35,9.6,18.5
Wallops,2026-04-14 22:17:58,2026-04-14 22:27:51,9.9,19.3
Ponce de Leon,2026-04-14 22:21:40,2026-04-14 22:29:27,7.8,11.8
Merrit Island,2026-04-14 22:21:44,2026-04-14 22:29:41,8.0,12.2
Santiago,2026-04-14 22:36:04,2026-04-14 22:48:04,12.0,55.6
McMurdo,2026-04-14 22:53:29,2026-04-14 23:05:45,12.3,69.5
Dongara,2026-04-14 23:08:34,2026-04-14 23:19:57,11.4,35.9
Singapore,2026-04-14 23:17:11,2026-04-14 23:29:02,11.8,54.4
Kiruna,2026-04-14 23:41:12,2026-04-14 23:51:05,9.9,20.3
Svalbard,2026-04-14 23:41:16,2026-04-14 23:53:17,12.0,62.3
Wallops,2026-04-14 23:55:58,2026-04-15 00:07:33,11.6,43.1
