Time (UTC),S-band Doppler (kHz),X-band Doppler (kHz)
2026-04-15 10:17:50,-50.23,191.79
2026-04-15 10:18:41,-49.56,189.25
2026-04-15 10:19:32,-48.01,183.32
2026-04-15 10:20:23,-44.06,168.23
2026-04-15 10:21:14,-32.05,122.39
2026-04-15 10:22:05,1.06,-4.05
2026-04-15 10:22:56,33.05,-126.21
2026-04-15 10:23:47,44.34,-169.31
2026-04-15 10:24:37,48.08,-183.58
2026-04-15 10:25:28,49.55,-189.20
2026-04-15 10:26:19,50.18,-191.58
