Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-10,2026-04-20 01:01:10,2026-04-20 03:29:27,2h 28m 17s,Svalbard,Punta Arenas
UMBRA-09,2026-04-20 01:01:45,2026-04-20 03:30:02,2h 28m 16s,Svalbard,Punta Arenas
UMBRA-10,2026-04-19 01:15:33,2026-04-19 03:43:38,2h 28m 5s,Svalbard,Punta Arenas
UMBRA-09,2026-04-19 01:16:09,2026-04-19 03:44:14,2h 28m 4s,Svalbard,Punta Arenas
UMBRA-11,2026-04-17 00:04:03,2026-04-17 02:32:02,2h 27m 59s,Svalbard,Punta Arenas
UMBRA-10,2026-04-18 01:29:54,2026-04-18 03:57:52,2h 27m 57s,Svalbard,Punta Arenas
UMBRA-09,2026-04-18 01:30:32,2026-04-18 03:58:28,2h 27m 56s,Svalbard,Punta Arenas
UMBRA-11,2026-04-21 00:10:48,2026-04-21 02:38:39,2h 27m 51s,Svalbard,Punta Arenas
UMBRA-11,2026-04-16 00:25:44,2026-04-16 02:53:21,2h 27m 36s,Svalbard,Punta Arenas
UMBRA-11,2026-04-20 00:32:34,2026-04-20 03:00:06,2h 27m 32s,Svalbard,Punta Arenas
