Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X37,2026-04-14 19:57:51,2026-04-14 20:00:44,173.5,37.0
ICEYE-X30,2026-04-14 20:05:10,2026-04-14 20:13:25,495.9,40.0
ICEYE-X57,2026-04-14 20:08:30,2026-04-14 20:14:40,369.8,40.0
ICEYE-X56,2026-04-14 20:11:52,2026-04-14 20:18:01,368.6,40.0
ICEYE-X38,2026-04-14 20:20:57,2026-04-14 20:28:14,436.4,40.0
ICEYE-X47,2026-04-14 20:29:22,2026-04-14 20:35:22,359.2,40.0
ICEYE-X26,2026-04-14 20:31:57,2026-04-14 20:39:58,481.7,40.0
ICEYE-X54,2026-04-14 20:33:23,2026-04-14 20:39:23,359.9,40.0
ICEYE-X52,2026-04-14 20:43:01,2026-04-14 20:48:58,357.2,40.0
ICEYE-X53,2026-04-14 20:45:00,2026-04-14 20:50:56,355.9,40.0
