Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Kiruna,2025-11-29 03:04:12,2025-11-29 03:16:21,12.2,88.1
Svalbard,2025-11-29 03:06:58,2025-11-29 03:19:05,12.1,63.9
Gilmore Creek,2025-11-29 03:17:38,2025-11-29 03:28:28,10.8,25.9
Alaska Satellite Facility,2025-11-29 03:17:41,2025-11-29 03:28:29,10.8,25.5
North Pole,2025-11-29 03:17:41,2025-11-29 03:28:31,10.8,25.7
South Point,2025-11-29 03:31:34,2025-11-29 03:40:59,9.4,17.4
Awarua,2025-11-29 03:54:53,2025-11-29 03:59:09,4.3,6.7
McMurdo,2025-11-29 03:57:15,2025-11-29 04:09:36,12.4,89.5
Troll,2025-11-29 04:06:07,2025-11-29 04:15:15,9.1,14.9
Matjiesfontein,2025-11-29 04:16:17,2025-11-29 04:27:41,11.4,34.2
Hartebeesthoek,2025-11-29 04:17:36,2025-11-29 04:29:45,12.1,82.8
Kiruna,2025-11-29 04:43:56,2025-11-29 04:55:13,11.3,31.4
Svalbard,2025-11-29 04:46:45,2025-11-29 04:58:17,11.5,35.6
Gilmore Creek,2025-11-29 04:56:21,2025-11-29 05:08:31,12.2,87.5
Alaska Satellite Facility,2025-11-29 04:56:24,2025-11-29 05:08:33,12.2,86.6
North Pole,2025-11-29 04:56:25,2025-11-29 05:08:34,12.2,87.6
South Point,2025-11-29 05:09:21,2025-11-29 05:20:20,11.0,30.5
Awarua,2025-11-29 05:28:35,2025-11-29 05:40:18,11.7,42.8
McMurdo,2025-11-29 05:36:27,2025-11-29 05:48:38,12.2,53.7
Troll,2025-11-29 05:45:03,2025-11-29 05:56:43,11.7,35.3
