Time (UTC),S-band Doppler (kHz),X-band Doppler (kHz)
2025-11-29 00:25:19,-46.34,176.92
2025-11-29 00:26:06,-44.21,168.79
2025-11-29 00:26:54,-40.36,154.12
2025-11-29 00:27:41,-33.21,126.81
2025-11-29 00:28:28,-20.18,77.07
2025-11-29 00:29:16,-0.47,1.78
2025-11-29 00:30:03,19.43,-74.17
2025-11-29 00:30:50,32.81,-125.26
2025-11-29 00:31:37,40.20,-153.47
2025-11-29 00:32:25,44.17,-168.65
2025-11-29 00:33:12,46.39,-177.11
