Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-08,2025-11-30 00:09:33,2025-11-30 04:05:43,3h 56m 9s,Svalbard,Punta Arenas
UMBRA-08,2025-12-02 05:04:30,2025-12-02 08:41:49,3h 37m 18s,Punta Arenas,Svalbard
UMBRA-08,2025-12-01 04:39:19,2025-12-01 08:16:19,3h 37m,Punta Arenas,Svalbard
UMBRA-08,2025-12-05 04:46:54,2025-12-05 08:23:42,3h 36m 47s,Punta Arenas,Svalbard
UMBRA-08,2025-12-03 00:32:31,2025-12-03 03:51:56,3h 19m 24s,Awarua,Punta Arenas
UMBRA-08,2025-11-30 23:43:55,2025-12-01 03:02:03,3h 18m 8s,Awarua,Punta Arenas
UMBRA-08,2025-12-02 00:09:06,2025-12-02 03:27:10,3h 18m 4s,Awarua,Punta Arenas
UMBRA-08,2025-12-06 00:14:22,2025-12-06 03:32:17,3h 17m 55s,Awarua,Punta Arenas
UMBRA-08,2025-12-04 23:52:00,2025-12-05 03:09:49,3h 17m 48s,Awarua,Punta Arenas
UMBRA-10,2025-12-06 01:14:03,2025-12-06 03:42:17,2h 28m 13s,Svalbard,Punta Arenas
