Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Kiruna,2026-07-01 04:27:10,2026-07-01 04:38:45,11.6,37.6
Svalbard,2026-07-01 04:30:04,2026-07-01 04:41:44,11.7,39.3
Gilmore Creek,2026-07-01 04:39:53,2026-07-01 04:52:01,12.1,72.4
Alaska Satellite Facility,2026-07-01 04:39:56,2026-07-01 04:52:03,12.1,71.5
North Pole,2026-07-01 04:39:56,2026-07-01 04:52:04,12.1,72.4
South Point,2026-07-01 04:52:38,2026-07-01 05:04:23,11.8,47.7
Awarua,2026-07-01 05:12:31,2026-07-01 05:23:42,11.2,31.6
McMurdo,2026-07-01 05:19:52,2026-07-01 05:32:07,12.2,59.2
Troll,2026-07-01 05:28:33,2026-07-01 05:39:57,11.4,30.6
Matjiesfontein,2026-07-01 05:38:32,2026-07-01 05:49:42,11.2,32.1
Hartebeesthoek,2026-07-01 05:41:32,2026-07-01 05:49:23,7.9,12.0
Kiruna,2026-07-01 06:08:59,2026-07-01 06:17:23,8.4,12.7
Svalbard,2026-07-01 06:10:39,2026-07-01 06:21:06,10.4,22.1
Gilmore Creek,2026-07-01 06:18:46,2026-07-01 06:30:11,11.4,37.7
Alaska Satellite Facility,2026-07-01 06:18:48,2026-07-01 06:30:14,11.4,37.9
North Pole,2026-07-01 06:18:49,2026-07-01 06:30:13,11.4,37.4
Awarua,2026-07-01 06:50:55,2026-07-01 07:02:31,11.6,36.9
McMurdo,2026-07-01 06:59:48,2026-07-01 07:11:23,11.6,32.5
Troll,2026-07-01 07:07:33,2026-07-01 07:19:53,12.3,74.0
Svalbard,2026-07-01 07:52:16,2026-07-01 08:00:42,8.4,13.1
