Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-10,2026-07-02 01:03:59,2026-07-02 03:32:17,2h 28m 18s,Svalbard,Punta Arenas
UMBRA-09,2026-07-02 01:04:38,2026-07-02 03:32:55,2h 28m 16s,Svalbard,Punta Arenas
UMBRA-11,2026-07-06 23:54:34,2026-07-07 02:22:46,2h 28m 11s,Svalbard,Punta Arenas
UMBRA-07,2026-07-01 23:21:51,2026-07-02 01:50:02,2h 28m 10s,Svalbard,Punta Arenas
UMBRA-10,2026-07-07 01:15:02,2026-07-07 03:43:09,2h 28m 6s,Svalbard,Punta Arenas
UMBRA-09,2026-07-07 01:15:41,2026-07-07 03:43:46,2h 28m 5s,Svalbard,Punta Arenas
UMBRA-11,2026-07-03 00:00:07,2026-07-03 02:28:08,2h 28m 1s,Svalbard,Punta Arenas
UMBRA-09,2026-07-06 01:32:21,2026-07-06 04:00:15,2h 27m 53s,Svalbard,Punta Arenas
UMBRA-10,2026-07-06 01:31:43,2026-07-06 03:59:34,2h 27m 51s,Svalbard,Punta Arenas
UMBRA-11,2026-07-06 00:19:25,2026-07-06 02:47:00,2h 27m 35s,Svalbard,Punta Arenas
