Satellite,AOI Exit (UTC),Contact Start (UTC),Station,Latency
CAPELLA-19 (ACADIA-9),2026-07-06 11:26:36,2026-07-06 12:21:01,Bangalore,54m 24s
CAPELLA-18 (ACADIA-8),2026-07-05 11:27:12,2026-07-05 12:21:36,Bangalore,54m 24s
CAPELLA-20 (ACADIA-10),2026-07-05 08:47:11,2026-07-05 09:41:31,Bangalore,54m 19s
CAPELLA-17 (ACADIA-7),2026-07-02 19:07:44,2026-07-02 20:02:02,Bangalore,54m 17s
CAPELLA-20 (ACADIA-10),2026-07-04 08:38:40,2026-07-04 09:32:40,Bangalore,54m
