Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X6,2026-07-01 04:25:02,2026-07-01 04:28:22,200.1,37.1
ICEYE-X46,2026-07-01 04:25:02,2026-07-01 04:28:53,231.3,37.9
ICEYE-X71,2026-07-01 04:25:02,2026-07-01 04:27:56,174.0,36.0
ICEYE-X74,2026-07-01 04:25:02,2026-07-01 04:26:31,89.5,35.5
ICEYE-X50,2026-07-01 04:26:54,2026-07-01 04:33:36,401.9,40.0
ICEYE-X48,2026-07-01 04:36:51,2026-07-01 04:43:25,394.1,40.0
ICEYE-X64,2026-07-01 04:51:08,2026-07-01 04:59:36,507.5,40.0
ICEYE-X78,2026-07-01 04:52:36,2026-07-01 04:59:17,401.3,40.0
ICEYE-X2,2026-07-01 04:57:26,2026-07-01 05:03:05,338.1,40.0
ICEYE-X72,2026-07-01 05:04:53,2026-07-01 05:18:17,803.6,40.0
