Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X46,2026-02-13 22:04:21,2026-02-13 22:06:59,158.4,36.5
ICEYE-X36,2026-02-13 22:26:51,2026-02-13 22:32:39,347.8,40.0
ICEYE-X37,2026-02-13 22:27:22,2026-02-13 22:33:10,348.3,40.0
ICEYE-X25,2026-02-13 22:33:39,2026-02-13 22:39:11,331.8,40.0
ICEYE-X48,2026-02-13 22:35:08,2026-02-13 22:45:13,604.7,40.0
ICEYE-X47,2026-02-13 22:39:13,2026-02-13 22:45:16,362.2,40.0
ICEYE-X51,2026-02-13 22:41:58,2026-02-13 22:52:02,604.0,40.0
ICEYE-X49,2026-02-13 22:45:18,2026-02-13 22:51:20,362.5,40.0
ICEYE-X38,2026-02-13 22:48:41,2026-02-13 22:54:25,344.2,40.0
ICEYE-X7,2026-02-13 22:53:04,2026-02-13 22:58:39,334.4,40.0
