Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X46,2026-05-18 03:33:19,2026-05-18 03:40:57,458.3,40.0
ICEYE-X73,2026-05-18 03:37:11,2026-05-18 03:48:57,706.2,40.0
ICEYE-X6,2026-05-18 03:37:33,2026-05-18 03:44:46,433.5,40.0
ICEYE-X50,2026-05-18 03:37:43,2026-05-18 03:45:16,452.8,40.0
ICEYE-X75,2026-05-18 03:38:15,2026-05-18 03:50:04,709.1,40.0
ICEYE-X64,2026-05-18 03:39:24,2026-05-18 03:46:19,414.7,40.0
ICEYE-X72,2026-05-18 03:45:55,2026-05-18 03:58:04,728.6,40.0
ICEYE-X51,2026-05-18 03:56:51,2026-05-18 04:04:11,440.2,40.0
ICEYE-X76,2026-05-18 03:59:20,2026-05-18 04:12:01,760.8,40.0
ICEYE-X74,2026-05-18 04:03:43,2026-05-18 04:16:34,770.3,40.0
