Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-10,2026-05-22 00:56:30,2026-05-22 03:24:56,2h 28m 25s,Svalbard,Punta Arenas
UMBRA-09,2026-05-22 00:57:12,2026-05-22 03:25:36,2h 28m 24s,Svalbard,Punta Arenas
UMBRA-11,2026-05-20 23:54:46,2026-05-21 02:23:01,2h 28m 14s,Svalbard,Punta Arenas
UMBRA-11,2026-05-24 23:56:49,2026-05-25 02:25:00,2h 28m 11s,Svalbard,Punta Arenas
UMBRA-10,2026-05-21 01:11:43,2026-05-21 03:39:52,2h 28m 9s,Svalbard,Punta Arenas
UMBRA-07,2026-05-24 23:28:45,2026-05-25 01:56:54,2h 28m 9s,Svalbard,Punta Arenas
UMBRA-09,2026-05-21 01:12:24,2026-05-21 03:40:32,2h 28m 8s,Svalbard,Punta Arenas
UMBRA-07,2026-05-23 23:36:00,2026-05-24 02:04:05,2h 28m 5s,Svalbard,Punta Arenas
UMBRA-10,2026-05-20 01:26:54,2026-05-20 03:54:53,2h 27m 59s,Svalbard,Punta Arenas
UMBRA-09,2026-05-20 01:27:34,2026-05-20 03:55:32,2h 27m 58s,Svalbard,Punta Arenas
