Satellite,AOI Exit (UTC),Contact Start (UTC),Station,Latency
CAPELLA-20 (ACADIA-10),2026-05-21 08:51:47,2026-05-21 09:46:19,Bangalore,54m 32s
CAPELLA-19 (ACADIA-9),2026-05-18 11:27:31,2026-05-18 12:21:56,Bangalore,54m 24s
CAPELLA-20 (ACADIA-10),2026-05-20 08:43:40,2026-05-20 09:37:52,Bangalore,54m 11s
CAPELLA-17 (ACADIA-7),2026-05-20 19:04:13,2026-05-20 19:58:25,Bangalore,54m 11s
CAPELLA-15 (ACADIA-5),2026-05-23 16:16:04,2026-05-23 17:10:00,Bangalore,53m 55s
