Module,Tasks,Avg Python Speedup,Avg Rust Speedup
Time,5,46.1×,194.1×
Coordinates,5,3.36×,143.0×
Attitude,4,7.28×,340.8×
Frames,2,31.9×,40.3×
Orbits,2,6.06×,71.9×
Propagation,8,6.60×,14.6×
Force Model,5,1.34×,84.6×
Access,1,4.72×,4.67×
