Task,Java,Python,Rust,Python Speedup,Rust Speedup
Epoch Creation,544.3 µs,34.3 µs,13.7 µs,15.9×,39.8×
UTC To GPS,64.1 µs,3.5 µs,207.9 ns,18.6×,308.3×
UTC To TAI,44.0 µs,3.7 µs,203.3 ns,12.0×,216.3×
UTC To TT,34.3 µs,3.5 µs,207.5 ns,9.88×,165.2×
UTC To UT1,2.53 ms,14.5 µs,10.5 µs,174.4×,240.8×
