Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Kiruna,2026-05-18 03:20:44,2026-05-18 03:32:53,12.2,78.3
Svalbard,2026-05-18 03:23:36,2026-05-18 03:35:39,12.1,58.2
Gilmore Creek,2026-05-18 03:34:06,2026-05-18 03:45:23,11.3,31.6
Alaska Satellite Facility,2026-05-18 03:34:09,2026-05-18 03:45:25,11.3,31.1
North Pole,2026-05-18 03:34:10,2026-05-18 03:45:26,11.3,31.4
South Point,2026-05-18 03:47:25,2026-05-18 03:58:12,10.8,27.1
Awarua,2026-05-18 04:09:52,2026-05-18 04:16:32,6.7,9.7
McMurdo,2026-05-18 04:13:47,2026-05-18 04:26:09,12.4,83.7
Troll,2026-05-18 04:22:38,2026-05-18 04:32:22,9.7,17.3
Matjiesfontein,2026-05-18 04:32:34,2026-05-18 04:44:30,11.9,51.4
Hartebeesthoek,2026-05-18 04:34:08,2026-05-18 04:46:09,12.0,64.4
Kiruna,2026-05-18 05:00:50,2026-05-18 05:11:43,10.9,26.3
Svalbard,2026-05-18 05:03:31,2026-05-18 05:14:53,11.4,32.3
Gilmore Creek,2026-05-18 05:12:53,2026-05-18 05:25:00,12.1,77.3
Alaska Satellite Facility,2026-05-18 05:12:56,2026-05-18 05:25:03,12.1,78.1
North Pole,2026-05-18 05:12:57,2026-05-18 05:25:03,12.1,77.2
South Point,2026-05-18 05:26:20,2026-05-18 05:36:08,9.8,19.9
Awarua,2026-05-18 05:44:51,2026-05-18 05:56:54,12.1,59.2
McMurdo,2026-05-18 05:53:07,2026-05-18 06:05:13,12.1,48.5
Troll,2026-05-18 06:01:36,2026-05-18 06:13:30,11.9,41.0
