Satellite,AOI Exit (UTC),Contact Start (UTC),Station,Latency
CAPELLA-16 (ACADIA-6),2026-05-12 16:38:20,2026-05-12 17:32:48,Bangalore,54m 27s
CAPELLA-19 (ACADIA-9),2026-05-11 11:27:31,2026-05-11 12:21:56,Bangalore,54m 24s
CAPELLA-17 (ACADIA-7),2026-05-10 19:08:44,2026-05-10 20:03:05,Bangalore,54m 21s
CAPELLA-16 (ACADIA-6),2026-05-11 16:32:18,2026-05-11 17:26:31,Bangalore,54m 12s
CAPELLA-15 (ACADIA-5),2026-05-12 16:22:23,2026-05-12 17:16:30,Bangalore,54m 6s
