Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-10,2026-05-10 00:49:24,2026-05-10 03:17:58,2h 28m 33s,Svalbard,Punta Arenas
UMBRA-09,2026-05-10 00:50:05,2026-05-10 03:18:37,2h 28m 32s,Svalbard,Punta Arenas
UMBRA-10,2026-05-09 01:04:26,2026-05-09 03:32:41,2h 28m 15s,Svalbard,Punta Arenas
UMBRA-09,2026-05-09 01:05:06,2026-05-09 03:33:20,2h 28m 13s,Svalbard,Punta Arenas
UMBRA-07,2026-05-11 23:27:13,2026-05-12 01:55:23,2h 28m 10s,Svalbard,Punta Arenas
UMBRA-07,2026-05-10 23:34:20,2026-05-11 02:02:26,2h 28m 6s,Svalbard,Punta Arenas
UMBRA-10,2026-05-08 01:19:25,2026-05-08 03:47:28,2h 28m 2s,Svalbard,Punta Arenas
UMBRA-09,2026-05-08 01:20:05,2026-05-08 03:48:07,2h 28m 1s,Svalbard,Punta Arenas
UMBRA-10,2026-05-07 01:34:22,2026-05-07 04:02:17,2h 27m 55s,Svalbard,Punta Arenas
UMBRA-09,2026-05-07 01:35:01,2026-05-07 04:02:56,2h 27m 54s,Svalbard,Punta Arenas
