Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X42,2026-05-06 14:21:25,2026-05-06 14:22:59,94.2,35.7
ICEYE-X59,2026-05-06 14:21:25,2026-05-06 14:30:17,532.4,39.6
ICEYE-X38,2026-05-06 14:21:41,2026-05-06 14:29:51,489.3,40.0
ICEYE-X26,2026-05-06 14:25:32,2026-05-06 14:31:42,370.4,40.0
ICEYE-X49,2026-05-06 14:25:50,2026-05-06 14:31:54,364.2,40.0
ICEYE-X11,2026-05-06 14:30:32,2026-05-06 14:35:47,314.8,40.0
ICEYE-X33,2026-05-06 14:32:23,2026-05-06 14:42:36,613.6,40.0
ICEYE-X54,2026-05-06 14:32:49,2026-05-06 14:45:47,778.6,40.0
ICEYE-X25,2026-05-06 14:33:24,2026-05-06 14:41:22,477.9,40.0
ICEYE-X37,2026-05-06 14:38:59,2026-05-06 14:48:33,573.7,40.0
