Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
White Sands,2026-05-06 13:09:58,2026-05-06 13:21:37,11.7,43.2
North Pole,2026-05-06 13:20:40,2026-05-06 13:32:10,11.5,39.9
Gilmore Creek,2026-05-06 13:20:40,2026-05-06 13:32:12,11.5,40.6
Alaska Satellite Facility,2026-05-06 13:20:41,2026-05-06 13:32:11,11.5,39.7
Svalbard,2026-05-06 13:30:16,2026-05-06 13:38:01,7.7,11.4
Troll,2026-05-06 14:13:02,2026-05-06 14:24:51,11.8,44.0
McMurdo,2026-05-06 14:20:10,2026-05-06 14:26:25,6.3,8.6
South Point,2026-05-06 14:50:17,2026-05-06 14:57:03,6.8,10.0
North Pole,2026-05-06 14:58:56,2026-05-06 15:11:02,12.1,66.7
Alaska Satellite Facility,2026-05-06 14:58:57,2026-05-06 15:11:04,12.1,67.2
Gilmore Creek,2026-05-06 14:58:59,2026-05-06 15:11:05,12.1,65.9
Svalbard,2026-05-06 15:09:56,2026-05-06 15:19:52,9.9,18.9
Kiruna,2026-05-06 15:13:22,2026-05-06 15:22:29,9.1,15.3
Hartebeesthoek,2026-05-06 15:38:10,2026-05-06 15:50:14,12.1,69.3
Matjiesfontein,2026-05-06 15:40:46,2026-05-06 15:52:25,11.7,42.7
Troll,2026-05-06 15:51:15,2026-05-06 16:03:35,12.3,85.8
McMurdo,2026-05-06 16:00:06,2026-05-06 16:08:46,8.7,13.4
South Point,2026-05-06 16:25:57,2026-05-06 16:37:46,11.8,52.6
Alaska Satellite Facility,2026-05-06 16:39:38,2026-05-06 16:49:40,10.0,19.6
North Pole,2026-05-06 16:39:38,2026-05-06 16:49:38,10.0,19.4
