Time (UTC),S-band Doppler (kHz),X-band Doppler (kHz)
2026-05-07 00:59:23,-46.96,179.32
2026-05-07 01:00:10,-44.86,171.30
2026-05-07 01:00:57,-41.03,156.66
2026-05-07 01:01:44,-33.77,128.94
2026-05-07 01:02:31,-20.28,77.43
2026-05-07 01:03:18,0.33,-1.26
2026-05-07 01:04:05,20.76,-79.27
2026-05-07 01:04:52,34.06,-130.03
2026-05-07 01:05:39,41.20,-157.32
2026-05-07 01:06:25,44.99,-171.77
2026-05-07 01:07:12,47.07,-179.71
