Task,Java,Python,Rust,Python Speedup,Rust Speedup
State ECEF To ECI,8.36 ms,2.47 ms,3.49 ms,3.38×,2.39×
State ECI To ECEF,8.12 ms,2.32 ms,2.22 ms,3.51×,3.67×
