Satellite,AOI Exit (UTC),Contact Start (UTC),Station,Latency
CAPELLA-16 (ACADIA-6),2026-02-15 16:26:10,2026-02-15 17:20:07,Bangalore,53m 57s
CAPELLA-15 (ACADIA-5),2026-02-09 16:40:07,2026-02-09 17:29:50,Mauritius,49m 43s
CAPELLA-15 (ACADIA-5),2026-02-10 16:48:08,2026-02-10 17:36:57,Mauritius,48m 48s
CAPELLA-17 (ACADIA-7),2026-02-09 19:29:50,2026-02-09 20:18:17,Mauritius,48m 26s
CAPELLA-15 (ACADIA-5),2026-02-11 16:56:48,2026-02-11 17:44:25,Mauritius,47m 37s
