Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X26,2026-02-09 15:06:30,2026-02-09 15:09:46,196.8,37.1
ICEYE-X31,2026-02-09 15:06:30,2026-02-09 15:08:21,111.1,36.1
ICEYE-X45,2026-02-09 15:06:30,2026-02-09 15:13:07,397.1,38.4
ICEYE-X38,2026-02-09 15:07:29,2026-02-09 15:17:42,612.4,40.0
ICEYE-X61,2026-02-09 15:16:28,2026-02-09 15:24:27,479.4,40.0
ICEYE-X58,2026-02-09 15:19:38,2026-02-09 15:27:33,474.7,40.0
ICEYE-X4,2026-02-09 15:20:24,2026-02-09 15:21:50,85.8,42.2
ICEYE-X56,2026-02-09 15:25:03,2026-02-09 15:38:30,806.9,40.0
ICEYE-X5,2026-02-09 15:25:59,2026-02-09 15:31:45,345.8,40.0
ICEYE-X62,2026-02-09 15:32:33,2026-02-09 15:40:09,456.3,40.0
