Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Kiruna,2026-04-06 04:10:32,2026-04-06 04:22:21,11.8,45.1
Svalbard,2026-04-06 04:13:28,2026-04-06 04:25:16,11.8,43.3
Gilmore Creek,2026-04-06 04:23:29,2026-04-06 04:35:32,12.0,58.9
Alaska Satellite Facility,2026-04-06 04:23:32,2026-04-06 04:35:34,12.0,58.0
North Pole,2026-04-06 04:23:33,2026-04-06 04:35:35,12.0,58.7
South Point,2026-04-06 04:36:09,2026-04-06 04:48:10,12.0,76.4
Awarua,2026-04-06 04:56:39,2026-04-06 05:07:07,10.5,23.7
McMurdo,2026-04-06 05:03:23,2026-04-06 05:15:41,12.3,65.1
Troll,2026-04-06 05:12:08,2026-04-06 05:23:12,11.1,26.5
Matjiesfontein,2026-04-06 05:21:57,2026-04-06 05:33:44,11.8,47.3
Hartebeesthoek,2026-04-06 05:24:25,2026-04-06 05:34:00,9.6,18.4
Kiruna,2026-04-06 05:51:52,2026-04-06 06:01:00,9.1,15.4
Svalbard,2026-04-06 05:53:54,2026-04-06 06:04:36,10.7,24.3
Gilmore Creek,2026-04-06 06:02:22,2026-04-06 06:14:01,11.7,44.4
Alaska Satellite Facility,2026-04-06 06:02:24,2026-04-06 06:14:04,11.7,44.7
North Pole,2026-04-06 06:02:25,2026-04-06 06:14:04,11.6,44.1
Awarua,2026-04-06 06:34:15,2026-04-06 06:46:16,12.0,51.7
McMurdo,2026-04-06 06:43:09,2026-04-06 06:54:52,11.7,35.9
Troll,2026-04-06 06:51:08,2026-04-06 07:03:25,12.3,64.2
Svalbard,2026-04-06 07:35:21,2026-04-06 07:44:09,8.8,14.2
