Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X6,2026-04-06 06:09:07,2026-04-06 06:09:26,18.8,35.1
ICEYE-X62,2026-04-06 06:09:07,2026-04-06 06:09:21,13.9,35.2
ICEYE-X64,2026-04-06 06:09:07,2026-04-06 06:19:53,646.3,39.7
ICEYE-X50,2026-04-06 06:10:07,2026-04-06 06:15:28,321.6,39.6
ICEYE-X43,2026-04-06 06:13:20,2026-04-06 06:18:30,309.4,39.5
ICEYE-X46,2026-04-06 06:16:23,2026-04-06 06:22:14,351.6,40.0
ICEYE-X42,2026-04-06 06:18:05,2026-04-06 06:21:33,208.5,38.0
ICEYE-X33,2026-04-06 06:18:08,2026-04-06 06:21:25,196.7,37.9
ICEYE-X44,2026-04-06 06:20:41,2026-04-06 06:23:55,193.5,37.8
ICEYE-X7,2026-04-06 06:28:36,2026-04-06 06:39:10,634.4,40.0
