Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X48,2026-03-20 23:03:25,2026-03-20 23:13:43,618.0,39.6
ICEYE-X11,2026-03-20 23:10:36,2026-03-20 23:17:42,426.1,40.0
ICEYE-X38,2026-03-20 23:12:57,2026-03-20 23:18:39,342.0,40.0
ICEYE-X7,2026-03-20 23:13:31,2026-03-20 23:19:08,337.2,40.0
ICEYE-X25,2026-03-20 23:17:34,2026-03-20 23:23:00,325.9,40.0
ICEYE-X50,2026-03-20 23:27:29,2026-03-20 23:39:48,738.5,40.0
ICEYE-X26,2026-03-20 23:32:17,2026-03-20 23:37:43,325.5,40.0
ICEYE-X46,2026-03-20 23:41:00,2026-03-20 23:53:49,768.9,40.0
ICEYE-X30,2026-03-20 23:46:27,2026-03-20 23:51:47,319.6,40.0
ICEYE-X6,2026-03-21 00:16:28,2026-03-21 00:20:45,257.3,38.8
