Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-10,2026-03-25 00:49:51,2026-03-25 03:18:21,2h 28m 30s,Svalbard,Punta Arenas
UMBRA-09,2026-03-25 00:50:33,2026-03-25 03:19:02,2h 28m 28s,Svalbard,Punta Arenas
UMBRA-10,2026-03-24 01:03:22,2026-03-24 03:31:38,2h 28m 15s,Svalbard,Punta Arenas
UMBRA-09,2026-03-24 01:04:03,2026-03-24 03:32:17,2h 28m 14s,Svalbard,Punta Arenas
UMBRA-10,2026-03-23 01:16:51,2026-03-23 03:44:56,2h 28m 4s,Svalbard,Punta Arenas
UMBRA-09,2026-03-23 01:17:31,2026-03-23 03:45:35,2h 28m 3s,Svalbard,Punta Arenas
UMBRA-11,2026-03-26 00:03:58,2026-03-26 02:32:01,2h 28m 3s,Svalbard,Punta Arenas
UMBRA-10,2026-03-22 01:30:17,2026-03-22 03:58:16,2h 27m 58s,Svalbard,Punta Arenas
UMBRA-09,2026-03-22 01:30:56,2026-03-22 03:58:54,2h 27m 57s,Svalbard,Punta Arenas
UMBRA-11,2026-03-21 00:12:59,2026-03-21 02:40:52,2h 27m 52s,Svalbard,Punta Arenas
