Time (UTC),S-band Doppler (kHz),X-band Doppler (kHz)
2025-11-07 08:16:53,-32.88,125.55
2025-11-07 08:17:27,-28.61,109.23
2025-11-07 08:18:02,-23.15,88.40
2025-11-07 08:18:36,-16.44,62.77
2025-11-07 08:19:10,-8.60,32.84
2025-11-07 08:19:45,-0.08,0.29
2025-11-07 08:20:19,8.46,-32.31
2025-11-07 08:20:54,16.33,-62.36
2025-11-07 08:21:28,23.09,-88.16
2025-11-07 08:22:02,28.59,-109.16
2025-11-07 08:22:37,32.92,-125.70
