Task,Orekit,GMAT,Basilisk,Nyx,Brahe (Python),Brahe (Rust),GMAT Speedup,Basilisk Speedup,Nyx Speedup,Brahe (Python) Speedup,Brahe (Rust) Speedup
Cartesian To Keplerian,298.2 µs,184.6 µs,2.05 ms,6.3 µs,67.0 µs,5.0 µs,1.62×,0.15×,47.5×,4.45×,60.2×
Keplerian To Cartesian,291.5 µs,167.8 µs,115.6 µs,10.6 µs,68.0 µs,7.4 µs,1.74×,2.52×,27.5×,4.29×,39.3×
